,capacity,traffic_intensity,block_rate
383,3,191.6,0.9844245201169871
384,3,192.1,0.9844648458395014
385,3,192.6,0.9845049633017676
386,3,193.1,0.9845448741128682
387,3,193.6,0.9845845798653529
388,3,194.1,0.9846240821354503
389,3,194.6,0.9846633824832765
390,3,195.1,0.9847024824530402
391,3,195.6,0.9847413835732451
392,3,196.1,0.9847800873568896
393,3,196.6,0.9848185953016615
394,3,197.1,0.9848569088901327
395,3,197.6,0.9848950295899482
396,3,198.1,0.9849329588540146
397,3,198.6,0.9849706981206834
398,3,199.1,0.9850082488139339
399,3,199.6,0.9850456123435516
400,3,200.1,0.9850827901053049
401,3,200.6,0.9851197834811186
402,3,201.1,0.9851565938392455
403,3,201.6,0.9851932225344345
404,3,202.1,0.9852296709080974
405,3,202.6,0.9852659402884723
406,3,203.1,0.9853020319907845
407,3,203.6,0.9853379473174064
408,3,204.1,0.9853736875580135
409,3,204.6,0.9854092539897384
410,3,205.1,0.985444647877324
411,3,205.6,0.9854798704732721
412,3,206.1,0.9855149230179924
413,3,206.6,0.9855498067399467
414,3,207.1,0.9855845228557939
415,3,207.6,0.98561907257053
416,3,208.1,0.9856534570776285
417,3,208.6,0.9856876775591773
418,3,209.1,0.9857217351860142
419,3,209.6,0.9857556311178607
420,3,210.1,0.9857893665034533
421,3,210.6,0.9858229424806731
422,3,211.1,0.9858563601766746
423,3,211.6,0.9858896207080105
424,3,212.1,0.985922725180757
425,3,212.6,0.985955674690636
426,3,213.1,0.9859884703231363
427,3,213.6,0.9860211131536324
428,3,214.1,0.986053604247502
429,3,214.6,0.9860859446602422
430,3,215.1,0.9861181354375838
431,3,215.6,0.9861501776156035
432,3,216.1,0.9861820722208356
433,3,216.6,0.9862138202703814
434,3,217.1,0.986245422772017
435,3,217.6,0.9862768807243004
436,3,218.1,0.9863081951166766
437,3,218.6,0.9863393669295807
438,3,219.1,0.986370397134541
439,3,219.6,0.9864012866942797
440,3,220.1,0.9864320365628121
441,3,220.6,0.986462647685545
442,3,221.1,0.9864931209993738
443,3,221.6,0.9865234574327779
444,3,222.1,0.9865536579059148
445,3,222.6,0.9865837233307133
446,3,223.1,0.9866136546109654
447,3,223.6,0.9866434526424166
448,3,224.1,0.9866731183128554
449,3,224.6,0.9867026525022013
450,3,225.1,0.9867320560825922
451,3,225.6,0.9867613299184695
452,3,226.1,0.9867904748666636
453,3,226.6,0.9868194917764769
454,3,227.1,0.9868483814897665
455,3,227.6,0.9868771448410257
456,3,228.1,0.9869057826574643
457,3,228.6,0.9869342957590876
458,3,229.1,0.9869626849587753
459,3,229.6,0.9869909510623577
460,3,230.1,0.9870190948686931
461,3,230.6,0.9870471171697422
462,3,231.1,0.9870750187506431
463,3,231.6,0.9871028003897836
464,3,232.1,0.9871304628588745
465,3,232.6,0.9871580069230209
466,3,233.1,0.9871854333407921
467,3,233.6,0.987212742864292
468,3,234.1,0.9872399362392275
469,3,234.6,0.9872670142049762
470,3,235.1,0.9872939774946538
471,3,235.6,0.9873208268351799
472,3,236.1,0.9873475629473435
473,3,236.6,0.9873741865458674
474,3,237.1,0.987400698339472
475,3,237.6,0.9874270990309381
476,3,238.1,0.9874533893171688
477,3,238.6,0.9874795698892513
478,3,239.1,0.9875056414325171
479,3,239.6,0.9875316046266015
480,3,240.1,0.9875574601455035
481,3,240.6,0.9875832086576434
482,3,241.1,0.9876088508259204
483,3,241.6,0.98763438730777
484,3,242.1,0.9876598187552197
485,3,242.6,0.9876851458149446
486,3,243.1,0.9877103691283226
487,3,243.6,0.9877354893314876
488,3,244.1,0.9877605070553841
489,3,244.6,0.9877854229258193
490,3,245.1,0.9878102375635154
491,3,245.6,0.9878349515841612
492,3,246.1,0.9878595655984632
493,3,246.6,0.9878840802121954
494,3,247.1,0.9879084960262496
495,3,247.6,0.987932813636684
496,3,248.1,0.9879570336347718
497,3,248.6,0.9879811566070495
498,3,249.1,0.9880051831353639
499,3,249.6,0.9880291137969186
500,3,250.1,0.9880529491643208
501,3,250.6,0.9880766898056268
502,3,251.1,0.9881003362843868
503,3,251.6,0.9881238891596897
504,3,252.1,0.9881473489862075
